238913ad81c3e64a733337b791b104aa743bf4edb1774b590344d30fec341ad5dde52, Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
888984e345e833fb77acb4406f6df810b8ad6487a5b4d082b0f3a3484421897e65166, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1
888984e345e833fb77acb4406f6df810b8ad6487a5b4d082b0f3a3484421897e65166, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
888984e345e833fb77acb4406f6df810b8ad6487a5b4d082b0f3a3484421897e65166, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,Checked,0,1
888984e345e833fb77acb4406f6df810b8ad6487a5b4d082b0f3a3484421897e65166, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,UnChecked,0,1
888984e345e833fb77acb4406f6df810b8ad6487a5b4d082b0f3a3484421897e65166, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
888984e345e833fb77acb4406f6df810b8ad6487a5b4d082b0f3a3484421897e65166, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,UnChecked,0,1
888984e345e833fb77acb4406f6df810b8ad6487a5b4d082b0f3a3484421897e65166, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
888984e345e833fb77acb4406f6df810b8ad6487a5b4d082b0f3a3484421897e65166, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,Checked,0,1
888984e345e833fb77acb4406f6df810b8ad6487a5b4d082b0f3a3484421897e65166, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,UnChecked,0,1
888984e345e833fb77acb4406f6df810b8ad6487a5b4d082b0f3a3484421897e65166, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,Checked,0,1
888984e345e833fb77acb4406f6df810b8ad6487a5b4d082b0f3a3484421897e65166, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,Checked,0,1
888984e345e833fb77acb4406f6df810b8ad6487a5b4d082b0f3a3484421897e65166, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,UnChecked,0,1
